citation_key,title,authors,year,venue,doi_or_url,verified,supports_claim
nectoux2012pronostia,PRONOSTIA: An experimental platform for bearings accelerated degradation tests,"Nectoux, Patrick and Gouriveau, Rafael and Medjaher, Kamal and Ramasso, Emmanuel and Chebel-Morello, Brigitte and Zerhouni, Noureddine and Varnier, Christophe",2012,Proc. IEEE Int. Conf. Prognostics and Health Management (PHM12),https://hal.science/hal-00719503,yes (HAL API (hal-00719503)),"yes - dataset source (PRONOSTIA platform, PHM'12)"
lei2018machinery,Machinery health prognostics: A systematic review from data acquisition to RUL prediction,"Lei, Yaguo and Li, Naipeng and Guo, Liang and Li, Ningbo and Yan, Tao and Lin, Jing",2018,Mechanical Systems and Signal Processing,https://doi.org/10.1016/j.ymssp.2017.11.016,yes (Crossref DOI),"yes - review: data acquisition, HI construction, health-stage division, RUL prediction (abstract); cited for PdM definition and health-stage division"
bai2018tcn,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,"Bai, Shaojie and Kolter, J. Zico and Koltun, Vladlen",2018,arXiv preprint arXiv:1803.01271,https://arxiv.org/abs/1803.01271,yes (arXiv API),yes - generic TCN architecture used as baseline (abstract)
xu2021industry5,"Industry 4.0 and Industry 5.0---Inception, conception and perception","Xu, Xun and Lu, Yuqian and Vogel-Heuser, Birgit and Wang, Lihui",2021,Journal of Manufacturing Systems,https://doi.org/10.1016/j.jmsy.2021.10.006,yes (Crossref DOI),yes (title + widely known editorial content; abstract not inspected in this session) - Industry 5.0 perspective; cited for human-centric motivation
ren2021cloudedge,Cloud--Edge-Based Lightweight Temporal Convolutional Networks for Remaining Useful Life Prediction in IIoT,"Ren, Lei and Liu, Yuxin and Wang, Xiaokang and Lu, Jinhu and Deen, M. Jamal",2021,IEEE Internet of Things Journal,https://doi.org/10.1109/JIOT.2020.3008170,yes (Crossref DOI),yes - edge real-time RUL + cloud refinement with history (abstract)
saleh2026hama,HAMA: A Hierarchical Adaptive Multi-Agent Architecture for Industrial IoT Predictive Maintenance,"Saleh, Rebin Birzo and Dinh, Khanh Pham and Villanyi, Balazs and Hy, Truong-Son",2026,IEEE Access,https://doi.org/10.1109/ACCESS.2026.3731096,yes (Crossref DOI + authors' public repository README),"yes - edge z-score pre-filter, fog ensembles, SHAP, small-LM operator text"
yao2026ecdistill,EC-Distill-ZeroDiag: a cloud-edge collaborative framework for zero-shot industrial fault diagnosis via large language model distillation,"Yao, Zhiwen and Xu, Yuhui and Xia, Tangbin and Chen, Zhen and Pan, Ershun and Xi, Lifeng",2026,Journal of Intelligent Manufacturing,https://doi.org/10.1007/s10845-026-02897-1,yes (Crossref DOI),yes (abstract via indexed search snippet; publisher abstract elided in APIs) - edge agent offloads uncertain fault-diagnosis cases
javanmardi2023conformal,Conformal Prediction Intervals for Remaining Useful Lifetime Estimation,"Javanmardi, Alireza and Hullermeier, Eyke",2023,International Journal of Prognostics and Health Management,https://doi.org/10.36001/ijphm.2023.v14i2.3417,yes (Crossref DOI + arXiv 2212.14612),yes - conformal RUL intervals on C-MAPSS (abstract)
wang2026conformal,Uncertainty-Aware Bearing Remaining Useful Life Prediction Based on Conformal Prediction,"Wang, Shun and Vidal, Yolanda and Pozo, Francesc",2026,Proc. PHM Society European Conference,https://doi.org/10.36001/phme.2026.v9i1.4902,yes (Crossref DOI + PHM Society page),yes - conformal calibration of bearing RUL intervals (abstract)
romano2019cqr,Conformalized Quantile Regression,"Romano, Yaniv and Patterson, Evan and Cand`es, Emmanuel J.",2019,Advances in Neural Information Processing Systems (NeurIPS),https://proceedings.neurips.cc,yes (arXiv API + NeurIPS proceedings page),yes - CQR method and coverage guarantee
huang2025cab,Reliable Inference in Edge-Cloud Model Cascades via Conformal Alignment,"Huang, Jiayi and Park, Sangwoo and Paoletti, Nicola and Simeone, Osvaldo",2025,arXiv preprint arXiv:2510.17543,https://arxiv.org/abs/2510.17543,yes (arXiv API),yes - conformal-alignment edge-cloud cascade for classification (abstract)
lundberg2017shap,A Unified Approach to Interpreting Model Predictions,"Lundberg, Scott M. and Lee, Su-In",2017,Advances in Neural Information Processing Systems (NeurIPS),https://proceedings.neurips.cc,yes (arXiv API + Semantic Scholar venue/pages),yes - SHAP
barber2021jackknife,Predictive inference with the jackknife+,"Barber, Rina Foygel and Cand`es, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2021,The Annals of Statistics,https://doi.org/10.1214/20-AOS1965,yes (Crossref DOI),yes - jackknife+/CV+ predictive intervals with 1-2alpha guarantee (Ann. Stat.); used for CQR-CV+
wang2020xjtu,A Hybrid Prognostics Approach for Estimating Remaining Useful Life of Rolling Element Bearings,"Wang, Biao and Lei, Yaguo and Li, Naipeng and Li, Ningbo",2020,IEEE Transactions on Reliability,https://doi.org/10.1109/TR.2018.2882682,yes (Crossref DOI + dataset author's official repository README),yes - XJTU-SY dataset source paper requested by the dataset authors
angelopoulos2024crc,Conformal Risk Control,"Angelopoulos, Anastasios N. and Bates, Stephen and Fisch, Adam and Lei, Lihua and Schuster, Tal",2024,International Conference on Learning Representations (ICLR),https://proceedings.neurips.cc,yes (arXiv API (2208.02814) + official ICLR 2024 proceedings page),yes - conformal risk control of expected monotone losses; used for bearing-level lateness control
